Risk Metric,Scenario Approach,Model Selection,Model Parameter,pnl
var,historical,full_revaluation^ytm,var_type^1^95,-11385.07
var,historical,full_revaluation^ytm,var_type^1^99,-16836.81
var,historical,full_revaluation^ytm,var_type^10^95,-15831.91
var,historical,full_revaluation^ytm,var_type^10^99,-21466.37
var,historical,full_revaluation^ytm,expected_shortfall^10^99,-24207.78
var,historical,full_revaluation^ytm,expected_shortfall^10^95,-19297.04
var,historical,sensitivity_approximation^ytm,var_type^10^95,-36257.03
var,historical,sensitivity_approximation^ytm,var_type^10^99,-51148.85
var,monte_carlo,sensitivity_approximation^ytm,var_type^10^95,-58046.63
var,monte_carlo,sensitivity_approximation^ytm,var_type^10^99,-81897.82
stress_testing,financial_crisis_2008,full_revaluation^zero_curve,,31940.33
stress_testing,oil_crisis_1974,full_revaluation^zero_curve,,4767.06
