Risk Metric,Scenario Approach,Model Selection,Model Parameter,pnl
var,historical,full_revaluation^ytm,var_type^1^95,-10055.56
var,historical,full_revaluation^ytm,var_type^1^99,-14393.85
var,historical,full_revaluation^ytm,var_type^10^95,-13003.59
var,historical,full_revaluation^ytm,var_type^10^99,-19915.86
var,historical,full_revaluation^ytm,expected_shortfall^10^99,-21535.82
var,historical,full_revaluation^ytm,expected_shortfall^10^95,-17520.17
var,historical,sensitivity_approximation^ytm,var_type^10^95,-30687.55
var,historical,sensitivity_approximation^ytm,var_type^10^99,-41982.15
var,monte_carlo,sensitivity_approximation^ytm,var_type^10^95,-49505.8
var,monte_carlo,sensitivity_approximation^ytm,var_type^10^99,-69305.89
stress_testing,financial_crisis_2008,full_revaluation^zero_curve,,-129673.95
stress_testing,oil_crisis_1974,full_revaluation^zero_curve,,-151091.05
