Risk Metric,Scenario Approach,Model Selection,Model Parameter,pnl
var,historical,full_revaluation^ytm,var_type^1^95,-12279.33
var,historical,full_revaluation^ytm,var_type^1^99,-17313.42
var,historical,full_revaluation^ytm,var_type^10^95,-16277.8
var,historical,full_revaluation^ytm,var_type^10^99,-23280.16
var,historical,full_revaluation^ytm,expected_shortfall^10^99,-25806.6
var,historical,full_revaluation^ytm,expected_shortfall^10^95,-20369.84
var,historical,sensitivity_approximation^ytm,var_type^10^95,-37995.67
var,historical,sensitivity_approximation^ytm,var_type^10^99,-55870.99
var,monte_carlo,sensitivity_approximation^ytm,var_type^10^95,-58814.9
var,monte_carlo,sensitivity_approximation^ytm,var_type^10^99,-84026.64
stress_testing,financial_crisis_2008,full_revaluation^zero_curve,,-15544.91
stress_testing,oil_crisis_1974,full_revaluation^zero_curve,,-42676.16
