Risk Metric,Scenario Approach,Model Selection,Model Parameter,pnl
var,historical,full_revaluation^ytm,var_type^1^95,-12129.04
var,historical,full_revaluation^ytm,var_type^1^99,-17134.31
var,historical,full_revaluation^ytm,var_type^10^95,-16202.1
var,historical,full_revaluation^ytm,var_type^10^99,-23046.92
var,historical,full_revaluation^ytm,expected_shortfall^10^99,-25868.15
var,historical,full_revaluation^ytm,expected_shortfall^10^95,-20348.42
var,historical,sensitivity_approximation^ytm,var_type^10^95,-38190.28
var,historical,sensitivity_approximation^ytm,var_type^10^99,-54071.58
var,monte_carlo,sensitivity_approximation^ytm,var_type^10^95,-58609.51
var,monte_carlo,sensitivity_approximation^ytm,var_type^10^99,-82420.79
stress_testing,financial_crisis_2008,full_revaluation^zero_curve,,-30253.42
stress_testing,oil_crisis_1974,full_revaluation^zero_curve,,-56344.9
