Risk Metric,Scenario Approach,Model Selection,Model Parameter,pnl
var,historical,full_revaluation^ytm,var_type^1^95,-10504.29
var,historical,full_revaluation^ytm,var_type^1^99,-15047.52
var,historical,full_revaluation^ytm,var_type^10^95,-14735.28
var,historical,full_revaluation^ytm,var_type^10^99,-21051.23
var,historical,full_revaluation^ytm,expected_shortfall^10^99,-22922.37
var,historical,full_revaluation^ytm,expected_shortfall^10^95,-18564.02
var,historical,sensitivity_approximation^ytm,var_type^10^95,-34659.48
var,historical,sensitivity_approximation^ytm,var_type^10^99,-49773.58
var,monte_carlo,sensitivity_approximation^ytm,var_type^10^95,-53117.54
var,monte_carlo,sensitivity_approximation^ytm,var_type^10^99,-74869.75
stress_testing,financial_crisis_2008,full_revaluation^zero_curve,,-83073.71
stress_testing,oil_crisis_1974,full_revaluation^zero_curve,,-126179.87
