Risk Metric,Scenario Approach,Model Selection,Model Parameter,pnl
var,historical,full_revaluation^ytm,var_type^1^95,-11058.8
var,historical,full_revaluation^ytm,var_type^1^99,-15675.39
var,historical,full_revaluation^ytm,var_type^10^95,-14748.37
var,historical,full_revaluation^ytm,var_type^10^99,-21939.22
var,historical,full_revaluation^ytm,expected_shortfall^10^99,-23966.47
var,historical,full_revaluation^ytm,expected_shortfall^10^95,-19006.21
var,historical,sensitivity_approximation^ytm,var_type^10^95,-34860.82
var,historical,sensitivity_approximation^ytm,var_type^10^99,-49905.31
var,monte_carlo,sensitivity_approximation^ytm,var_type^10^95,-54042.52
var,monte_carlo,sensitivity_approximation^ytm,var_type^10^99,-76340.74
stress_testing,financial_crisis_2008,full_revaluation^zero_curve,,-66078.86
stress_testing,oil_crisis_1974,full_revaluation^zero_curve,,-90594.3
